INDEX,RESP_THORAX,RESP_ABDOMEN,ACC_VERTICAL,ACC_HORIZONTAL,TIME
184,31328.0,35920.0,27700.0,33572.0,3.68
185,32996.0,35192.0,20904.0,27632.0,3.7
186,35353.0,33552.0,26244.0,33652.0,3.72
187,36736.0,31680.0,27472.0,33048.0,3.74
188,37712.0,31080.0,27740.0,33360.0,3.76
189,38004.0,30752.0,27536.0,33472.0,3.78
190,37024.0,30784.0,27128.0,33072.0,3.8
191,33216.0,30256.0,27056.0,32532.0,3.82
192,28624.0,28093.0,27360.0,33300.0,3.84
193,26192.0,24672.0,27384.0,33448.0,3.86
194,26720.0,21604.0,27060.0,33424.0,3.88
195,29098.0,18964.0,26880.0,32058.0,3.9
196,31488.0,16594.0,27908.0,35036.0,3.92
197,33376.0,15585.0,27776.0,33736.0,3.94
198,34812.0,17100.0,25520.0,33760.0,3.96
199,35820.0,20360.0,22010.0,31752.0,3.98
200,37568.0,24672.0,20444.0,32544.0,4.0
201,40240.0,29776.0,17256.0,29332.0,4.02
202,42352.0,34400.0,17002.0,26940.0,4.04
203,43200.0,38356.0,28284.0,31368.0,4.06
204,43624.0,41712.0,29808.0,31764.0,4.08
205,44536.0,44832.0,33776.0,30020.0,4.1
206,45880.0,47424.0,34236.0,27104.0,4.12
207,46616.0,49512.0,33866.0,27332.0,4.14
208,46232.0,50672.0,34532.0,28872.0,4.16
209,44720.0,51552.0,32960.0,30128.0,4.18
210,43372.0,53416.0,31128.0,30872.0,4.2
211,43148.0,51056.0,29536.0,32120.0,4.22
212,42704.0,44112.0,27824.0,34012.0,4.24
213,39952.0,38168.0,26880.0,35296.0,4.26
214,34968.0,33504.0,25420.0,36856.0,4.28
215,30384.0,29776.0,25360.0,40344.0,4.3
216,26896.0,27480.0,25628.0,40616.0,4.32
217,26064.0,26180.0,26792.0,41080.0,4.34
218,27760.0,25468.0,27144.0,41932.0,4.36
219,30912.0,24016.0,26916.0,39120.0,4.38
220,35156.0,22268.0,27988.0,39380.0,4.4
221,39168.0,20786.0,26216.0,37716.0,4.42
222,42512.0,19264.0,27252.0,38188.0,4.44
223,45348.0,18516.0,27228.0,36824.0,4.46
224,47656.0,18908.0,21690.0,53160.0,4.48
225,48876.0,18992.0,22048.0,27146.0,4.5
226,48112.0,16582.0,23554.0,30792.0,4.52
227,46024.0,14442.0,25000.0,32992.0,4.54
228,44496.0,12704.0,25600.0,33040.0,4.56
229,44788.0,11886.0,28308.0,33888.0,4.58
230,45960.0,12840.0,23284.0,34956.0,4.6
231,46376.0,13182.0,23424.0,29816.0,4.62
232,46064.0,12124.0,26848.0,33824.0,4.64
233,45424.0,11192.0,27268.0,33288.0,4.66
234,45532.0,10633.0,27688.0,33376.0,4.68
235,45992.0,9510.0,27392.0,33316.0,4.7
236,46024.0,8489.0,27068.0,33088.0,4.72
237,45024.0,7444.0,26948.0,32900.0,4.74
238,44724.0,6595.0,27056.0,33024.0,4.76
239,45360.0,5817.0,26968.0,33240.0,4.78
240,46592.0,5071.0,26132.0,33120.0,4.8
241,47344.0,4514.0,26052.0,32688.0,4.82
242,47120.0,4024.0,25516.0,32480.0,4.84
243,46648.0,4899.0,26768.0,33920.0,4.86
244,46576.0,8054.0,24768.0,33812.0,4.88
245,46956.0,12193.0,24268.0,33096.0,4.9
246,47280.0,16568.0,24704.0,33216.0,4.92
247,47496.0,22164.0,22436.0,33288.0,4.94
248,47776.0,27696.0,21432.0,30098.0,4.96
249,48628.0,32412.0,23816.0,30712.0,4.98
250,50176.0,36596.0,26056.0,30604.0,5.0
251,52012.0,40000.0,34420.0,32292.0,5.02
252,53160.0,41784.0,35744.0,26464.0,5.04
253,53096.0,43032.0,31760.0,27984.0,5.06
254,52040.0,44744.0,32832.0,28140.0,5.08
255,50184.0,45664.0,32568.0,29632.0,5.1
256,49432.0,45456.0,31084.0,30552.0,5.12
257,49988.0,44872.0,29394.0,31816.0,5.14
258,51212.0,43688.0,28460.0,32488.0,5.16
259,51696.0,42256.0,27948.0,33264.0,5.18
260,50776.0,40756.0,26176.0,33456.0,5.2
261,48376.0,39008.0,24208.0,35432.0,5.22
262,45456.0,37680.0,24338.0,36616.0,5.24
263,43644.0,37320.0,22568.0,36152.0,5.26
264,43592.0,37712.0,22633.0,37160.0,5.28
265,44920.0,38244.0,24104.0,40464.0,5.3
266,46340.0,39144.0,23584.0,40528.0,5.32
267,47548.0,39912.0,27504.0,43184.0,5.34
268,48892.0,39520.0,29264.0,43760.0,5.36
269,49912.0,39596.0,28904.0,42560.0,5.38
270,50224.0,41072.0,21836.0,37148.0,5.4
271,49776.0,43900.0,32136.0,47104.0,5.42
272,48416.0,46880.0,26072.0,29808.0,5.44
273,46288.0,48312.0,28252.0,34560.0,5.46
274,43628.0,47520.0,22924.0,30900.0,5.48
275,40768.0,45304.0,26928.0,33202.0,5.5
276,40136.0,42468.0,25200.0,32676.0,5.52
277,42680.0,40716.0,25664.0,33356.0,5.54
278,45832.0,40880.0,26692.0,33368.0,5.56
279,48400.0,42888.0,26848.0,33100.0,5.58
280,49800.0,43624.0,26976.0,33088.0,5.6
281,49440.0,42848.0,27240.0,33328.0,5.62
282,48200.0,40532.0,27088.0,32996.0,5.64
283,47280.0,37700.0,27417.0,33340.0,5.66
284,47608.0,34520.0,27632.0,33696.0,5.68
285,48576.0,31348.0,27648.0,33724.0,5.7
286,48776.0,27872.0,27536.0,33676.0,5.72
287,48024.0,24448.0,27296.0,33832.0,5.74
288,46800.0,21216.0,26288.0,33848.0,5.76
289,45192.0,18528.0,25216.0,33452.0,5.78
290,43188.0,16388.0,24864.0,33192.0,5.8
291,40760.0,14368.0,24880.0,33324.0,5.82
292,38680.0,12457.0,24264.0,32808.0,5.84
293,38928.0,10808.0,22872.0,32768.0,5.86
294,42120.0,9872.0,19960.0,32656.0,5.88
295,45312.0,16392.0,23288.0,35136.0,5.9
296,47968.0,22836.0,25276.0,34800.0,5.92
297,50240.0,24892.0,27080.0,29008.0,5.94
298,51948.0,24900.0,26188.0,32704.0,5.96
299,51696.0,25820.0,29216.0,29312.0,5.98
300,48936.0,28864.0,30676.0,30164.0,6.0
301,45444.0,32800.0,30616.0,31112.0,6.02
302,43212.0,35968.0,29588.0,30824.0,6.04
303,42280.0,38424.0,28856.0,31560.0,6.06
304,41592.0,41472.0,27856.0,31828.0,6.08
305,40328.0,44432.0,26748.0,31912.0,6.1
306,38424.0,47104.0,25752.0,32224.0,6.12
307,36048.0,49248.0,25308.0,32872.0,6.14
308,33244.0,51304.0,25552.0,33384.0,6.16
309,30112.0,52776.0,24464.0,33216.0,6.18
310,26844.0,54540.0,23900.0,32928.0,6.2
311,23740.0,55264.0,23908.0,33560.0,6.22
312,21300.0,57020.0,22968.0,34728.0,6.24
313,19848.0,58040.0,22340.0,36900.0,6.26
314,18552.0,58968.0,22508.0,40048.0,6.28
315,17352.0,59816.0,22536.0,42384.0,6.3
316,16356.0,58940.0,18992.0,41732.0,6.32
317,15240.0,54792.0,28104.0,50104.0,6.34
318,13738.0,52560.0,26912.0,28048.0,6.36
319,12140.0,51392.0,30668.0,40304.0,6.38
320,10740.0,47584.0,26792.0,37084.0,6.4
321,9596.0,42114.0,27452.0,35688.0,6.42
322,10036.0,36800.0,27584.0,33064.0,6.44
323,13524.0,32388.0,27356.0,33140.0,6.46
324,18512.0,28528.0,27320.0,32924.0,6.48
325,22112.0,25172.0,27300.0,32980.0,6.5
326,24216.0,22748.0,27436.0,33080.0,6.52
327,25256.0,20104.0,27376.0,32944.0,6.54
328,25724.0,17656.0,27296.0,33040.0,6.56
329,26004.0,16148.0,27376.0,32984.0,6.58
330,26080.0,15092.0,27336.0,32920.0,6.6
